TILEID,EXPID,MEDIAN_TSNR2_LRG,MEDIAN_TSNR2_ELG,MEDIAN_DELTACHI2,N_LRG
1888,00090527,95.65936279296875,150.5498046875,214.66276835557073,996
1889,00093386,80.20263671875,113.39682006835938,203.15094355121255,910
1890,00093594,77.22386169433594,106.07524871826172,173.7856660299003,909
1891,00093488,84.26925659179688,121.19007873535156,209.67145106196404,1057
1892,00094983,49.30579376220703,69.83763122558594,122.96886316873133,960
1892,00094984,36.64506530761719,51.99604034423828,86.66558973491192,961
1893,00094620,85.52737426757812,119.807373046875,207.09973075985909,991
1893,00094687,84.62548828125,117.40289306640625,213.70478382427245,994
1894,00095099,83.50199890136719,119.81289672851562,197.54110051505268,1034
1895,00089283,83.55055236816406,123.09361267089844,199.53695072978735,1070
1896,00095202,89.63395690917969,124.98736572265625,199.17029347270727,1075
1897,00095097,82.73717498779297,116.17509460449219,168.0292843170464,1025
1899,00093487,83.58865356445312,117.75740051269531,219.82073025777936,893
1899,00093593,79.09159851074219,107.450927734375,201.33683283254504,995
1900,00094619,83.31501770019531,117.72341918945312,215.91107700020075,943
1901,00089281,83.51386260986328,119.02964782714844,209.22348123416305,1026
1902,00093385,78.3853530883789,112.32233428955078,180.8508327230811,983
1903,00092396,79.1607666015625,112.46488952636719,190.44314668886364,1182
1905,00094621,85.16120910644531,120.38616180419922,194.20019907318056,850
1909,00090774,87.376953125,125.51283264160156,233.57041435316205,1053
1910,00091394,87.04102325439453,125.77680206298828,219.15318527072668,1011
1911,00089678,82.20478820800781,116.60116577148438,230.8802722133696,1068
1912,00088547,85.93717956542969,126.4206314086914,209.44306623004377,1051
1913,00089679,81.77053833007812,115.618896484375,192.55615378404036,1030
1914,00093083,89.32585906982422,127.53453063964844,227.49724374711514,1046
1915,00090671,96.70263671875,143.700439453125,259.93749947473407,986
1916,00091190,65.67780303955078,94.21989440917969,178.67609798163176,1087
1916,00095312,19.107654571533203,27.06791877746582,42.10828385595232,1090
1917,00093279,88.03298950195312,130.08999633789062,231.38885282864794,1076
1918,00088546,81.8016357421875,118.27670288085938,214.17535477876663,1139
1919,00093382,81.11782836914062,115.8565673828125,208.75696968846023,1017
1920,00093280,84.95382690429688,124.37039947509766,204.14453195780516,1099
1920,00093384,82.53363800048828,116.64720153808594,203.75370491528884,988
1921,00093383,83.27883911132812,118.12144470214844,203.8985465914011,1063
1922,00093591,76.46128845214844,105.66400146484375,187.39731927402318,980
1923,00092390,75.94861602783203,107.30873107910156,192.41299653798342,1149
1924,00093485,77.63597869873047,109.5962142944336,192.78253611177206,1069
1925,00093592,82.36738586425781,113.5489501953125,187.9596341457218,1044
1926,00095098,82.10738372802734,117.20936584472656,233.27813858538866,1037
1927,00089676,76.35964965820312,113.46809387207031,207.03475347161293,1029
1928,00089677,78.0267333984375,109.87422180175781,194.28001042827964,1097
1929,00095100,80.59447479248047,113.73475646972656,184.9790972145156,998
1930,00090414,55.630126953125,87.44444274902344,145.65903794020414,1095
1930,00090415,52.82005310058594,83.32997131347656,132.02423152327538,1098
1931,00093486,84.54016876220703,120.3338394165039,195.08040807768703,993
2070,00095313,84.70345306396484,120.16474151611328,180.8343941643834,940
2071,00095204,81.75093078613281,112.8515625,197.32540444051847,992
2072,00090673,82.37001037597656,130.49810791015625,187.39559388160706,1095
2075,00095311,82.50019836425781,119.95105743408203,189.18050371482968,1015
2156,00088868,87.5218505859375,125.77845001220703,239.8741542827338,1175
2160,00088865,88.3260498046875,127.41400909423828,214.50855408236384,1095
2161,00088531,85.55775451660156,120.70643615722656,211.6455097720027,1075
2162,00088532,50.54756164550781,71.50657653808594,127.04500091075897,1124
