# fiber x(mm) y(mm) theta(deg) phi(deg) illumination_fraction
367 137.262073 50.574285 0.598346 20.226347 1.34211e-05
368 273.415056 140.850850 1.233779 27.255439 1.2072e-05
369 168.560073 50.569362 0.717940 16.699662 1.32115e-05
370 273.068302 68.438298 1.133778 14.070051 1.2318e-05
371 132.073638 59.640775 0.592818 24.302609 1.34317e-05
372 27.569479 5.202495 0.115419 10.686330 1.40337e-05
373 100.611311 5.208541 0.413372 2.963496 1.37034e-05
374 347.712373 177.078781 1.542842 26.988288 1.12477e-05
375 278.271954 59.390638 1.145451 12.047686 1.22906e-05
376 315.317109 122.770950 1.350517 21.273803 1.17703e-05
377 231.237295 68.583008 0.976792 16.519907 1.26816e-05
378 241.599943 50.459509 0.998823 11.796967 1.26329e-05
379 220.599117 14.256269 0.897479 3.697611 1.28539e-05
380 242.026602 140.871581 1.128081 30.201545 1.23321e-05
381 373.181445 77.555365 1.509636 11.740215 1.13392e-05
382 362.869345 113.708873 1.506373 17.398924 1.13488e-05
383 367.679897 32.349544 1.465158 5.028101 1.14605e-05
384 225.831725 23.317913 0.921069 5.895098 1.28027e-05
385 194.825748 95.794651 0.881827 26.183069 1.28871e-05
386 262.944752 140.825704 1.198283 28.172231 1.21603e-05
387 142.366696 23.311783 0.590179 9.299350 1.34348e-05
388 252.048042 50.437595 1.038814 11.316050 1.25419e-05
389 331.340919 149.963721 1.445132 24.351338 1.15159e-05
390 226.312475 131.894522 1.057895 30.233559 1.24983e-05
391 362.566372 77.525251 1.471307 12.069441 1.14453e-05
392 210.366218 68.615936 0.898327 18.064966 1.28525e-05
393 199.793101 32.369820 0.823468 9.202906 1.30068e-05
394 304.609069 86.539557 1.268439 15.859869 1.19839e-05
395 69.407224 41.646573 0.332453 30.965115 1.38093e-05
396 231.574847 140.920714 1.093411 31.321852 1.24148e-05
397 342.176538 168.065615 1.509885 26.158719 1.13391e-05
398 252.326627 104.673174 1.101528 22.530241 1.23965e-05
399 278.697634 149.897193 1.267633 28.273533 1.19859e-05
400 379.336172 140.793886 1.595391 20.362842 1.10979e-05
401 330.718124 41.335716 1.331377 7.124326 1.18208e-05
402 163.469596 77.750846 0.738121 25.437106 1.31738e-05
403 204.946852 5.210705 0.833866 1.456412 1.2986e-05
404 121.738806 77.768606 0.590971 32.571061 1.34359e-05
405 158.127562 50.542803 0.677883 17.725601 1.32842e-05
406 405.147057 41.318567 1.604920 5.823127 1.10709e-05
407 283.980852 158.955452 1.301726 29.237486 1.18978e-05
408 310.384786 168.045278 1.405147 28.431536 1.16252e-05
409 132.009001 41.428745 0.566280 17.423564 1.34752e-05
410 84.961816 14.271376 0.353761 9.535187 1.37827e-05
411 153.036987 77.766253 0.700603 26.937552 1.32434e-05
412 320.240086 59.399427 1.302714 10.508032 1.18954e-05
413 257.586687 113.701067 1.133975 23.817092 1.23184e-05
414 205.098637 59.573436 0.867853 16.196593 1.29161e-05
415 309.799106 77.477283 1.278604 14.041031 1.1958e-05
416 105.893527 32.396373 0.454104 17.010625 1.36465e-05
417 304.441175 50.325901 1.237633 9.386443 1.20622e-05
418 215.379655 5.210919 0.875252 1.385950 1.2901e-05
419 288.554624 5.212700 1.161103 1.034928 1.22514e-05
420 142.604325 77.737991 0.663430 28.596156 1.33095e-05
421 352.404159 131.819160 1.491577 20.508650 1.13892e-05
422 90.273848 41.472258 0.407653 24.674287 1.37125e-05
423 304.392072 32.265663 1.228185 6.050777 1.20857e-05
424 121.500138 23.306174 0.506890 10.858586 1.35687e-05
425 153.095148 95.857848 0.736563 32.052020 1.31769e-05
426 168.433637 14.254219 0.690052 4.837307 1.32623e-05
427 273.162663 86.527468 1.153161 17.576207 1.22717e-05
428 341.261466 41.356631 1.370734 6.909838 1.17177e-05
429 341.249164 23.282851 1.364296 3.903145 1.17344e-05
430 226.127633 95.732558 0.993905 22.945676 1.26452e-05
431 152.876153 41.423396 0.647207 15.160855 1.33394e-05
432 320.651151 131.821279 1.381720 22.347807 1.16869e-05
433 283.317799 14.242188 1.142121 2.877796 1.22969e-05
434 320.925586 168.069113 1.439835 27.641105 1.15303e-05
435 341.631808 113.721175 1.431625 18.411385 1.1553e-05
436 262.786891 104.641713 1.138954 21.712442 1.23048e-05
437 289.591174 204.271611 1.410486 35.198350 1.16111e-05
438 272.901227 32.331812 1.107856 6.756589 1.23809e-05
