NIGHT,EXPID,CAMERA,AMP,RDNOISE,GAIN
20220607,138463,b1,A,4.801520846622247,1.308
20220607,138463,b1,B,3.186358236686269,1.286
20220607,138463,b1,C,4.105605132615395,1.288
20220607,138463,b1,D,3.249378938949993,1.304
20220607,138463,r1,A,2.926079463772028,1.626
20220607,138463,r1,B,2.824422068879441,1.611
20220607,138463,r1,C,2.697409395626249,1.403
20220607,138463,r1,D,2.619446747544167,1.436
20220607,138463,z1,A,2.617580991504261,1.439
20220607,138463,z1,B,2.415924174584666,1.484
20220607,138463,z1,C,3.695141357530839,1.603
20220607,138463,z1,D,2.577554831307237,1.49
20220607,138463,b2,A,3.553921640201589,1.119
20220607,138463,b2,B,3.162393514496767,1.12
20220607,138463,b2,C,3.130673171089152,1.118
20220607,138463,b2,D,3.033815686242743,1.114
20220607,138463,r2,A,2.673926387063105,1.653
20220607,138463,r2,B,4.488751159682026,1.594
20220607,138463,r2,C,2.451150150121966,1.509
20220607,138463,r2,D,2.462585168633302,1.47
20220607,138463,z2,A,2.2744313398394,1.432
20220607,138463,z2,B,2.244005216425326,1.494
20220607,138463,z2,C,2.677742932626897,1.593
20220607,138463,z2,D,2.320217505252417,1.524
20220607,138463,b3,A,3.654151099563637,1.145
20220607,138463,b3,B,2.939838290929736,1.132
20220607,138463,b3,C,3.378275771631199,1.159
20220607,138463,b3,D,3.001226403043795,1.164
20220607,138463,r3,A,2.666707034048955,1.681
20220607,138463,r3,B,3.151769712746017,1.625
20220607,138463,r3,C,2.330904012430797,1.477
20220607,138463,r3,D,2.281362994032126,1.492
20220607,138463,z3,A,2.787330188370887,1.445
20220607,138463,z3,B,2.617696600989367,1.481
20220607,138463,z3,C,3.097630869236167,1.697
20220607,138463,z3,D,3.132919253134684,1.682
20220607,138463,b4,A,4.006186418618192,1.068
20220607,138463,b4,B,3.02131021163992,1.088
20220607,138463,b4,C,3.417555712113102,1.076
20220607,138463,b4,D,2.988199643644569,1.083
20220607,138463,r4,A,2.949063263586545,1.652
20220607,138463,r4,B,2.910516716761237,1.572
20220607,138463,r4,C,2.569052888744652,1.519
20220607,138463,r4,D,2.488658224840256,1.446
20220607,138463,z4,A,2.569269979309434,1.64
20220607,138463,z4,B,2.444304845517897,1.631
20220607,138463,z4,C,2.585462870798821,1.665
20220607,138463,z4,D,2.319499336401195,1.509
20220607,138463,b5,A,4.018172932300415,1.122
20220607,138463,b5,B,2.999536688562022,1.127
20220607,138463,b5,C,4.35289657521523,1.162
20220607,138463,b5,D,3.067340633317952,1.132
20220607,138463,r5,A,3.184188991910388,1.684
20220607,138463,r5,B,3.088653165969539,1.655
20220607,138463,r5,C,2.858499845850853,1.467
20220607,138463,r5,D,2.684979357236256,1.509
20220607,138463,z5,A,2.430145519164345,1.572
20220607,138463,z5,B,2.210166742821965,1.511
20220607,138463,z5,C,2.641949998106883,1.72
20220607,138463,z5,D,2.504574708617301,1.658
20220607,138463,b6,A,3.870121657948634,1.29
20220607,138463,b6,B,3.286180522184721,1.284
20220607,138463,b6,C,3.229611474327733,1.292
20220607,138463,b6,D,3.160907622284287,1.295
20220607,138463,r6,A,2.691984267216606,1.704
20220607,138463,r6,B,3.112217727489059,1.665
20220607,138463,r6,C,2.388625022691377,1.491
20220607,138463,r6,D,2.311235523881128,1.531
20220607,138463,z6,A,2.184533971410282,1.387
20220607,138463,z6,B,2.283507438191822,1.518
20220607,138463,z6,C,2.389294985514965,1.534
20220607,138463,z6,D,2.419317016981194,1.554
20220607,138463,b7,A,3.269130325891735,1.117
20220607,138463,b7,B,2.790851339495488,1.117
20220607,138463,b7,C,3.206746803387847,1.127
20220607,138463,b7,D,2.816336212269942,1.128
20220607,138463,r7,A,2.603814126960328,1.666
20220607,138463,r7,B,2.531140076162588,1.67
20220607,138463,r7,C,2.205319271675197,1.444
20220607,138463,r7,D,2.271292371757873,1.505
20220607,138463,z7,A,2.375222243503095,1.533
20220607,138463,z7,B,2.480036117726686,1.53
20220607,138463,z7,C,2.664785650818052,1.667
20220607,138463,z7,D,2.513582336427738,1.547
20220607,138463,b8,A,3.620607566768688,1.091
20220607,138463,b8,B,2.930026105226359,1.121
20220607,138463,b8,C,3.186710069292842,1.141
20220607,138463,b8,D,3.042048862239497,1.135
20220607,138463,r8,A,2.665713481745368,1.627
20220607,138463,r8,B,2.231885916986832,1.482
20220607,138463,r8,C,2.59835025010488,1.581
20220607,138463,r8,D,2.589251791682313,1.589
20220607,138463,z8,A,2.496508463074766,1.466
20220607,138463,z8,B,2.215647037539769,1.498
20220607,138463,z8,C,2.622223478505871,1.655
20220607,138463,z8,D,2.567789122645495,1.658
20220607,138463,b9,A,3.479464909168821,1.106
20220607,138463,b9,B,2.750892265132182,1.083
20220607,138463,b9,C,2.990068991267868,1.115
20220607,138463,b9,D,3.062122744361429,1.12
20220607,138463,r9,A,2.644426459093856,1.591
20220607,138463,r9,B,2.180929214915199,1.412
20220607,138463,r9,C,2.91272820542732,1.543
20220607,138463,r9,D,2.139935645266883,1.406
20220607,138463,z9,A,2.342589756084259,1.436
20220607,138463,z9,B,2.304121590240986,1.496
20220607,138463,z9,C,2.658020742964645,1.625
20220607,138463,z9,D,2.411810155287987,1.531
20220608,138591,b0,A,4.001784034999406,1.133
20220608,138591,b0,B,3.029653621147714,1.117
20220608,138591,b0,C,3.556628018232799,1.122
20220608,138591,b0,D,3.889070712732917,1.122
20220608,138591,r0,A,2.774172899088448,1.655
20220608,138591,r0,B,2.51649081965392,1.488
20220608,138591,r0,C,2.708363104031112,1.583
20220608,138591,r0,D,2.440564438085724,1.507
20220608,138591,z0,A,2.625471178020778,1.614
20220608,138591,z0,B,2.313142073191472,1.519
20220608,138591,z0,C,2.646220784895088,1.673
20220608,138591,z0,D,2.347565413030209,1.491
20220608,138591,b1,A,4.735384210446741,1.308
20220608,138591,b1,B,3.192228280516536,1.286
20220608,138591,b1,C,4.095202170265688,1.288
20220608,138591,b1,D,3.244527253891416,1.304
20220608,138591,r1,A,2.933996894593668,1.626
20220608,138591,r1,B,2.815503290351211,1.611
20220608,138591,r1,C,2.712343600876734,1.403
20220608,138591,r1,D,2.623559115162628,1.436
20220608,138591,z1,A,2.622751772624218,1.439
20220608,138591,z1,B,2.414083080424355,1.484
20220608,138591,z1,C,3.702159582540729,1.603
20220608,138591,z1,D,2.579254883314204,1.49
20220608,138591,b2,A,3.606298836563749,1.119
20220608,138591,b2,B,3.043871574516573,1.12
20220608,138591,b2,C,3.125504651182307,1.118
20220608,138591,b2,D,2.976492517279386,1.114
20220608,138591,r2,A,2.661596692046588,1.653
20220608,138591,r2,B,4.504154671254753,1.594
20220608,138591,r2,C,2.445606029317937,1.509
20220608,138591,r2,D,2.470097001298564,1.47
20220608,138591,z2,A,2.276861341605561,1.432
20220608,138591,z2,B,2.243579345633848,1.494
20220608,138591,z2,C,2.670717604446415,1.593
20220608,138591,z2,D,2.320138816244857,1.524
20220608,138591,b3,A,3.66025780625436,1.145
20220608,138591,b3,B,2.95203271539077,1.132
20220608,138591,b3,C,3.199329704806715,1.159
20220608,138591,b3,D,2.999371945547582,1.164
20220608,138591,r3,A,2.676421198567547,1.681
20220608,138591,r3,B,3.128007460711937,1.625
20220608,138591,r3,C,2.335275037775078,1.477
20220608,138591,r3,D,2.273992308153156,1.492
20220608,138591,z3,A,2.78338883814726,1.445
20220608,138591,z3,B,2.617911147980298,1.481
20220608,138591,z3,C,3.09886045004315,1.697
20220608,138591,z3,D,3.133106988105247,1.682
20220608,138591,b4,A,4.031117591341126,1.068
20220608,138591,b4,B,3.051099982028635,1.088
20220608,138591,b4,C,3.425268840882737,1.076
20220608,138591,b4,D,2.978047423809697,1.083
20220608,138591,r4,A,2.954882303672215,1.652
20220608,138591,r4,B,2.920774768948061,1.572
20220608,138591,r4,C,2.562028224513051,1.519
20220608,138591,r4,D,2.485347682384037,1.446
20220608,138591,z4,A,2.583073555645635,1.64
20220608,138591,z4,B,2.446100867353532,1.631
20220608,138591,z4,C,2.582059238353534,1.665
20220608,138591,z4,D,2.30867312908521,1.509
20220608,138591,b5,A,4.228098690127434,1.122
20220608,138591,b5,B,3.108215165852403,1.127
20220608,138591,b5,C,4.457126072450631,1.162
20220608,138591,b5,D,3.154569772785106,1.132
20220608,138591,r5,A,3.185609081917156,1.684
20220608,138591,r5,B,3.075613879898641,1.655
20220608,138591,r5,C,2.850719941147402,1.467
20220608,138591,r5,D,2.69760365626568,1.509
20220608,138591,z5,A,2.42439418826003,1.572
20220608,138591,z5,B,2.207839967905966,1.511
20220608,138591,z5,C,2.627856678742351,1.72
20220608,138591,z5,D,2.503393992706931,1.658
20220608,138591,b6,A,3.856079519117106,1.29
20220608,138591,b6,B,3.296760060862353,1.284
20220608,138591,b6,C,3.201432363675143,1.292
20220608,138591,b6,D,3.167072645255496,1.295
20220608,138591,r6,A,2.687452843121746,1.704
20220608,138591,r6,B,3.125974526599756,1.665
20220608,138591,r6,C,2.388378876108916,1.491
20220608,138591,r6,D,2.303252170150447,1.531
